ID,TIMESTAMP,TIME,PAIR,SIDE,PRICE,QTY($)
702785330,1611222586284,2021-01-21T09:49:46.284Z,XRP-PERP,buy,0.284,108.0
703393049,1611227478811,2021-01-21T11:11:18.811Z,XRP-PERP,sell,0.286,432.0
703398792,1611227572378,2021-01-21T11:12:52.378Z,XRP-PERP,buy,0.28545,324.0
703577021,1611229926412,2021-01-21T11:52:06.412Z,XRP-PERP,buy,0.285925,107.0
703602742,1611230285936,2021-01-21T11:58:05.936Z,XRP-PERP,buy,0.284,1.0
703658900,1611230606261,2021-01-21T12:03:26.261Z,XRP-PERP,buy,0.282,1.0
703965900,1611232142541,2021-01-21T12:29:02.541Z,XRP-PERP,buy,0.278,2.0
704078352,1611233088651,2021-01-21T12:44:48.651Z,XRP-PERP,sell,0.282,1.0
704135144,1611233640635,2021-01-21T12:54:00.635Z,XRP-PERP,sell,0.284,1.0
704647939,1611238264546,2021-01-21T14:11:04.546Z,XRP-PERP,buy,0.278,2.0
704883456,1611240095003,2021-01-21T14:41:35.003Z,XRP-PERP,buy,0.276,1.0
705059694,1611241206695,2021-01-21T15:00:06.695Z,XRP-PERP,buy,0.274,1.0
705176712,1611242132407,2021-01-21T15:15:32.407Z,XRP-PERP,sell,0.278,1.0
705596948,1611245357269,2021-01-21T16:09:17.269Z,XRP-PERP,sell,0.28,1.0
705741910,1611246910966,2021-01-21T16:35:10.966Z,XRP-PERP,buy,0.276,1.0
705792435,1611247432567,2021-01-21T16:43:52.567Z,XRP-PERP,buy,0.274,1.0
706009377,1611249164998,2021-01-21T17:12:44.998Z,XRP-PERP,buy,0.272,1.0
706038261,1611249461214,2021-01-21T17:17:41.214Z,XRP-PERP,buy,0.27,1.0
706112474,1611250230382,2021-01-21T17:30:30.382Z,XRP-PERP,sell,0.274,1.0
706471328,1611256104764,2021-01-21T19:08:24.764Z,XRP-PERP,sell,0.276,1.0
706513386,1611256627198,2021-01-21T19:17:07.198Z,XRP-PERP,sell,0.278,1.0
707129261,1611266161031,2021-01-21T21:56:01.031Z,XRP-PERP,buy,0.274,1.0
707205244,1611266636413,2021-01-21T22:03:56.413Z,XRP-PERP,buy,0.27,2.0
707562379,1611268663981,2021-01-21T22:37:43.981Z,XRP-PERP,buy,0.264,3.0
707575865,1611268699530,2021-01-21T22:38:19.530Z,XRP-PERP,buy,0.26,2.0
707721095,1611269282605,2021-01-21T22:48:02.605Z,XRP-PERP,sell,0.268,3.0
707901459,1611270692794,2021-01-21T23:11:32.794Z,XRP-PERP,sell,0.27,1.0
708059679,1611272354977,2021-01-21T23:39:14.977Z,XRP-PERP,sell,0.272,1.0
708141098,1611273237342,2021-01-21T23:53:57.342Z,XRP-PERP,buy,0.268,1.0
708342954,1611274414079,2021-01-22T00:13:34.079Z,XRP-PERP,buy,0.266,1.0
708396459,1611274782879,2021-01-22T00:19:42.879Z,XRP-PERP,buy,0.264,1.0
708415739,1611274911426,2021-01-22T00:21:51.426Z,XRP-PERP,buy,0.262,1.0
708496232,1611275181251,2021-01-22T00:26:21.251Z,XRP-PERP,buy,0.25,6.0
708584038,1611275380803,2021-01-22T00:29:40.803Z,XRP-PERP,buy,0.244,3.0
708756485,1611275957113,2021-01-22T00:39:17.113Z,XRP-PERP,sell,0.248,1.0
708777786,1611276058245,2021-01-22T00:40:58.245Z,XRP-PERP,sell,0.25,1.0
708875764,1611276606179,2021-01-22T00:50:06.179Z,XRP-PERP,sell,0.256,3.0
708976024,1611277196959,2021-01-22T00:59:56.959Z,XRP-PERP,buy,0.252,1.0
709081863,1611277829316,2021-01-22T01:10:29.316Z,XRP-PERP,buy,0.25,1.0
709393815,1611279816342,2021-01-22T01:43:36.342Z,XRP-PERP,sell,0.256,2.0
709469057,1611280336507,2021-01-22T01:52:16.507Z,XRP-PERP,sell,0.258,1.0
709562450,1611280999515,2021-01-22T02:03:19.515Z,XRP-PERP,sell,0.26,1.0
709856126,1611283203569,2021-01-22T02:40:03.569Z,XRP-PERP,sell,0.264,2.0
710136066,1611286817398,2021-01-22T03:40:17.398Z,XRP-PERP,sell,0.266,1.0
710222660,1611287952432,2021-01-22T03:59:12.432Z,XRP-PERP,sell,0.268,1.0
710314399,1611288810073,2021-01-22T04:13:30.073Z,XRP-PERP,sell,0.272,2.0
710424985,1611290059238,2021-01-22T04:34:19.238Z,XRP-PERP,buy,0.268,1.0
710548535,1611291793278,2021-01-22T05:03:13.278Z,XRP-PERP,buy,0.266,1.0
710681236,1611293434059,2021-01-22T05:30:34.059Z,XRP-PERP,sell,0.27,1.0
711070827,1611300354347,2021-01-22T07:25:54.347Z,XRP-PERP,buy,0.266,1.0
711163322,1611301328957,2021-01-22T07:42:08.957Z,XRP-PERP,buy,0.264,1.0
711228372,1611302028986,2021-01-22T07:53:48.986Z,XRP-PERP,buy,0.262,1.0
711593683,1611306225366,2021-01-22T09:03:45.366Z,XRP-PERP,sell,0.268,2.0
712123332,1611314036901,2021-01-22T11:13:56.901Z,XRP-PERP,sell,0.27,1.0
712137478,1611314232420,2021-01-22T11:17:12.420Z,XRP-PERP,sell,0.272,1.0
712830761,1611325158230,2021-01-22T14:19:18.230Z,XRP-PERP,sell,0.274,1.0
713008865,1611328084842,2021-01-22T15:08:04.842Z,XRP-PERP,sell,0.276,1.0
713018181,1611328177597,2021-01-22T15:09:37.597Z,XRP-PERP,sell,0.278,1.0
713100049,1611329469558,2021-01-22T15:31:09.558Z,XRP-PERP,buy,0.274,1.0
713481197,1611334414297,2021-01-22T16:53:34.297Z,XRP-PERP,buy,0.272,1.0
713864576,1611341795944,2021-01-22T18:56:35.944Z,XRP-PERP,sell,0.276,1.0
714255152,1611349718999,2021-01-22T21:08:38.999Z,XRP-PERP,sell,0.278,1.0
714349256,1611352217488,2021-01-22T21:50:17.488Z,XRP-PERP,buy,0.274,1.0
714515159,1611356009494,2021-01-22T22:53:29.494Z,XRP-PERP,buy,0.272,1.0
714548157,1611356255577,2021-01-22T22:57:35.577Z,XRP-PERP,buy,0.27,1.0
714969264,1611362936186,2021-01-23T00:48:56.186Z,XRP-PERP,sell,0.274,1.0
714975288,1611363031820,2021-01-23T00:50:31.820Z,XRP-PERP,sell,0.276,1.0
714991376,1611363280022,2021-01-23T00:54:40.022Z,XRP-PERP,sell,0.278,1.0
716106965,1611384959297,2021-01-23T06:55:59.297Z,XRP-PERP,sell,0.28,1.0
716570244,1611394001435,2021-01-23T09:26:41.435Z,XRP-PERP,buy,0.276,1.0
716654109,1611395519784,2021-01-23T09:51:59.784Z,XRP-PERP,buy,0.274,1.0
716796466,1611397550732,2021-01-23T10:25:50.732Z,XRP-PERP,buy,0.272,1.0
717003426,1611400817488,2021-01-23T11:20:17.488Z,XRP-PERP,buy,0.268,2.0
717433450,1611407119927,2021-01-23T13:05:19.927Z,XRP-PERP,buy,0.266,1.0
717505317,1611408028429,2021-01-23T13:20:28.429Z,XRP-PERP,sell,0.27,1.0
717888247,1611414811053,2021-01-23T15:13:31.053Z,XRP-PERP,sell,0.272,1.0
718453345,1611424983971,2021-01-23T18:03:03.971Z,XRP-PERP,sell,0.274,1.0
719410969,1611446560508,2021-01-24T00:02:40.508Z,XRP-PERP,buy,0.27,1.0
720009089,1611459702054,2021-01-24T03:41:42.054Z,XRP-PERP,sell,0.274,1.0
720087877,1611460806707,2021-01-24T04:00:06.707Z,XRP-PERP,sell,0.276,1.0
720493472,1611466660989,2021-01-24T05:37:40.989Z,XRP-PERP,sell,0.278,1.0
721032051,1611478565407,2021-01-24T08:56:05.407Z,XRP-PERP,buy,0.274,1.0
722324452,1611503623975,2021-01-24T15:53:43.975Z,XRP-PERP,buy,0.272,1.0
723119139,1611516039778,2021-01-24T19:20:39.778Z,XRP-PERP,buy,0.27,1.0
724009599,1611531697172,2021-01-24T23:41:37.172Z,XRP-PERP,sell,0.274,1.0
724172499,1611533550295,2021-01-25T00:12:30.295Z,XRP-PERP,sell,0.276,1.0
724488029,1611535920691,2021-01-25T00:52:00.691Z,XRP-PERP,sell,0.278,1.0
724623547,1611537041921,2021-01-25T01:10:41.921Z,XRP-PERP,sell,0.28,1.0
726196689,1611566045329,2021-01-25T09:14:05.329Z,XRP-PERP,buy,0.276,1.0
726279922,1611567787539,2021-01-25T09:43:07.539Z,XRP-PERP,buy,0.274,1.0
726931558,1611578715059,2021-01-25T12:45:15.059Z,XRP-PERP,sell,0.278,1.0
727404936,1611584302624,2021-01-25T14:18:22.624Z,XRP-PERP,sell,0.28,1.0
727413124,1611584400945,2021-01-25T14:20:00.945Z,XRP-PERP,sell,0.284,2.0
727456158,1611584997028,2021-01-25T14:29:57.028Z,XRP-PERP,buy,0.28,1.0
